class,model,accuracy,precision,recall,f1-score,normal_samples,faulty_samples
001_control-group,TSF-fast,0.35,0.2857142857142857,0.2,0.23529411764705882,50,50
001_control-group,KNN-DTW-fast,0.45,0.4444444444444444,0.4,0.42105263157894735,50,50
101_deformed-thread,TSF-fast,0.6,0.6,0.6,0.6,50,50
101_deformed-thread,KNN-DTW-fast,0.45,0.4444444444444444,0.4,0.42105263157894735,50,50
102_filed-screw-tip,TSF-fast,0.75,0.8571428571428571,0.6,0.7058823529411765,50,50
102_filed-screw-tip,KNN-DTW-fast,0.8,1.0,0.6,0.75,50,50
103_glued-screw-tip,TSF-fast,0.7,0.8333333333333334,0.5,0.625,50,50
103_glued-screw-tip,KNN-DTW-fast,0.75,0.7777777777777778,0.7,0.7368421052631579,50,50
104_coated-screw,TSF-fast,0.65,0.6666666666666666,0.6,0.631578947368421,50,50
104_coated-screw,KNN-DTW-fast,0.55,0.5384615384615384,0.7,0.6086956521739131,50,50
105_worn-out-screw,TSF-fast,0.65,0.7142857142857143,0.5,0.5882352941176471,50,50
105_worn-out-screw,KNN-DTW-fast,0.75,0.6923076923076923,0.9,0.782608695652174,50,50
201_damaged-contact-surface,TSF-fast,0.8,0.75,0.9,0.8181818181818182,50,50
201_damaged-contact-surface,KNN-DTW-fast,0.75,0.6923076923076923,0.9,0.782608695652174,50,50
202_broken-contact-surface,TSF-fast,0.95,0.9090909090909091,1.0,0.9523809523809523,50,50
202_broken-contact-surface,KNN-DTW-fast,0.85,0.7692307692307693,1.0,0.8695652173913043,50,50
203_metal-ring-upper-part,TSF-fast,0.85,1.0,0.7,0.8235294117647058,50,50
203_metal-ring-upper-part,KNN-DTW-fast,0.8,0.875,0.7,0.7777777777777778,50,50
204_rubber-ring-upper-part,TSF-fast,0.9,1.0,0.8,0.8888888888888888,50,50
204_rubber-ring-upper-part,KNN-DTW-fast,0.9,0.8333333333333334,1.0,0.9090909090909091,50,50
205_different-material,TSF-fast,0.8,0.75,0.9,0.8181818181818182,50,50
205_different-material,KNN-DTW-fast,0.85,0.7692307692307693,1.0,0.8695652173913043,50,50
301_plastic-pin-screw-hole,TSF-fast,0.8,0.75,0.9,0.8181818181818182,50,50
301_plastic-pin-screw-hole,KNN-DTW-fast,0.8,0.8,0.8,0.8,50,50
302_enlarged-screw-hole,TSF-fast,1.0,1.0,1.0,1.0,50,50
302_enlarged-screw-hole,KNN-DTW-fast,1.0,1.0,1.0,1.0,50,50
303_less-glass-fiber,TSF-fast,0.9,1.0,0.8,0.8888888888888888,50,50
303_less-glass-fiber,KNN-DTW-fast,0.9,1.0,0.8,0.8888888888888888,50,50
304_glued-screw-hole,TSF-fast,0.9,0.9,0.9,0.9,50,50
304_glued-screw-hole,KNN-DTW-fast,0.8,0.8,0.8,0.8,50,50
305_gap-between-parts,TSF-fast,1.0,1.0,1.0,1.0,50,50
305_gap-between-parts,KNN-DTW-fast,0.5,0.5,0.5,0.5,50,50
401_surface-lubricant,TSF-fast,0.8,1.0,0.6,0.75,50,50
401_surface-lubricant,KNN-DTW-fast,0.75,1.0,0.5,0.6666666666666666,50,50
402_surface-moisture,TSF-fast,0.7,0.7,0.7,0.7,50,50
402_surface-moisture,KNN-DTW-fast,0.45,0.46153846153846156,0.6,0.5217391304347826,50,50
403_plastic-chip,TSF-fast,0.9,0.9,0.9,0.9,50,50
403_plastic-chip,KNN-DTW-fast,0.8,0.8,0.8,0.8,50,50
404_increased-temperature,TSF-fast,0.6,0.75,0.3,0.42857142857142855,50,50
404_increased-temperature,KNN-DTW-fast,0.45,0.4444444444444444,0.4,0.42105263157894735,50,50
405_decreased-temperature,TSF-fast,0.7,0.75,0.6,0.6666666666666666,50,50
405_decreased-temperature,KNN-DTW-fast,0.75,0.7272727272727273,0.8,0.7619047619047619,50,50
501_increased-ang-velocity,TSF-fast,0.9,0.9,0.9,0.9,50,50
501_increased-ang-velocity,KNN-DTW-fast,0.85,0.8888888888888888,0.8,0.8421052631578947,50,50
502_decreased-ang-velocity,TSF-fast,0.95,1.0,0.9,0.9473684210526315,50,50
502_decreased-ang-velocity,KNN-DTW-fast,0.85,1.0,0.7,0.8235294117647058,50,50
503_increased-torque,TSF-fast,0.85,0.8888888888888888,0.8,0.8421052631578947,50,50
503_increased-torque,KNN-DTW-fast,0.85,0.8181818181818182,0.9,0.8571428571428571,50,50
504_decreased-torque,TSF-fast,0.7,0.75,0.6,0.6666666666666666,50,50
504_decreased-torque,KNN-DTW-fast,0.85,0.8888888888888888,0.8,0.8421052631578947,50,50
